event_name,target_type,target_detail,multiplier,probability
"AI Arms Race (DDR5 Shortage)",RAM,0.95,1.60,0.15
"Crypto Mining Resurgence",GPU,ALL,1.50,0.10
"TSMC Fab Power Outage",ALL,ALL,1.25,0.05
"Taiwan Strait Tension (Panic Buying)",ALL,ALL,1.80,0.04
"Neon Gas Shortage (CPU Lithography)",CPU,0.6,1.30,0.08
"Rare Earth Mineral Export Ban",GPU,ALL,1.20,0.12
"Global Shipping Canal Blockage",Case,0.1,1.15,0.05
"New Gaming Console Launch (GDDR6)",GPU,0.4,1.10,0.20
"Generative AI Winter (4090 Crash)",GPU,0.85,0.70,0.08
"GPU Mining Ban Enforced",GPU,ALL,0.65,0.05
"Major Tech Layoffs (Market Glut)",ALL,ALL,0.85,0.15
"DDR6 Production Breakthrough",RAM,0.95,0.90,0.10
"Enterprise SSD SSD Crisis",SSD,0.8,1.50,0.15
"NAND Flash Surplus (Consumer)",SSD,0.5,0.85,0.20
"Federal Interest Rate Hike",ALL,ALL,0.95,0.25
"Next-Gen 5090 Hype (Scalping)",GPU,0.9,1.20,0.15
"AI Datacenter Regulation",GPU,0.9,0.90,0.10
"Silicon Valley Bank Run 2.0",ALL,ALL,0.80,0.03
"Pandemic Lockdown (China Fabs)",ALL,ALL,1.40,0.05
"Copper Price Spike (PSU Impact)",PSU,0.2,1.05,0.20
"Normal Market Conditions",ALL,ALL,1.00,0.40
"Retailer Price War",ALL,ALL,0.90,0.15
"Black Friday Early Access",ALL,ALL,0.95,0.30
"Scalper Botnet Takedown",GPU,0.85,0.90,0.05
"Logistics Strike (West Coast Ports)",Case,0.1,1.20,0.10
"HBM Yield Failure (Scrap Rate Spike)",RAM,0.95,1.35,0.10
"Legacy Fab Retooling (DDR4 Cut)",RAM,0.4,1.15,0.10